Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Final energy,Electricity,REMIND-MAgPIE,Low Demand,EJ/yr,0.186,0.22,0.241,0.264,0.281,0.291,0.304
Final energy,Electricity,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.184,0.219,0.257,0.291,0.314,0.327,0.336
Final energy,Electricity,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.192,0.23,0.258,0.289,0.317,0.334,0.351
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Below 2°C,Mt CO2/yr,35.915,30.968,31.744,32.671,32.901,32.347,31.046
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,37.254,34.403,38.107,43.163,48.727,54.693,61.234
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,37.023,33.926,37.414,33.943,33.867,32.449,29.084
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Fragmented World,Mt CO2/yr,36.44,33.017,36.217,37.732,38.497,38.776,37.838
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Low Demand,Mt CO2/yr,35.95,31.873,31.36,29.954,26.601,21.468,4.473
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,37.192,33.933,38.061,43.147,48.76,54.719,60.504
Emissions and CCS,Energy and industrial processes CO2 emissions,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,36.099,31.086,29.256,27,23.946,19.272,-10.745
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2/yr,26.461,23.567,23.734,25.815,27.009,24.723,24.729
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2/yr,28.419,28.548,31.302,32.134,35.218,38.41,41.915
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2/yr,28.178,28.176,30.727,25.893,25.25,24.593,24.974
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2/yr,27.009,26.835,29.326,29.718,32.719,34.928,36.444
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Low Demand,Mt CO2/yr,28.72,26.98,22.913,22.628,21.195,20.368,19.842
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2/yr,27.901,25.716,27.935,30.332,33.74,36.103,38.461
Emissions and CCS,Energy and industrial processes CO2 emissions,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,27.177,24.45,21.323,19.513,21.053,18.037,17.352
Emissions and CCS,Energy and industrial processes CO2 emissions,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,28.36,25.586,24.899,25.037,23.902,30.805,18.253
